0000, 3590
0001, ef8d
0002, e55c
0003, d6e2
0004, 42f1
0005, 1bf8
0006, ea9d
0007, a092
0008, 0c45
0009, 6b45
000a, b24c
000b, 08f5
000c, 0b52
000d, ee0c
000e, c0f3
000f, 3586
0010, fcc5
0011, 983b
0012, 9052
0013, 9b53
0014, 5bdb
0015, b1a8
0016, 71e5
0017, 50d8
0018, 9738
0019, f81e
001a, edb5
001b, cc3e
001c, cd34
001d, 960f
001e, 86de
001f, f71b
0020, 0527
0021, 5497
0022, 5aed
0023, ebad
0024, 9107
0025, 2d6b
0026, 92f2
0027, e9f5
0028, 20ac
0029, e232
002a, 0fad
002b, dc9f
002c, d10b
002d, 058b
002e, 2c6f
002f, 96ed
0030, 5358
0031, 92c8
0032, 9048
0033, b16d
0034, 52c1
0035, 8ba2
0036, 9436
0037, 8600
0038, ca00
0039, 8e0b
003a, 5d36
003b, c5a5
003c, cbfb
003d, fc26
003e, 85ac
003f, 5074
0040, a344
0041, 28e4
0042, 29ea
0043, 5116
0044, 51f2
0045, d1f2
0046, d116
0047, c39a
0048, 04f9
0049, bdc1
004a, adc1
004b, 9f63
004c, 98e4
004d, da8e
004e, daaf
004f, 5a87
0050, 9c35
0051, de28
0052, d65e
0053, 105b
0054, a468
0055, 780b
0056, d568
0057, a968
0058, 6525
0059, a8ee
005a, 7425
005b, 6e65
005c, 6deb
005d, db0e
005e, 7965
005f, ace8
0060, 0799
0061, fdf4
0062, f381
0063, 9b43
0064, 01a8
0065, e1a8
0066, 2b43
0067, 59c6
0068, 95c4
0069, 587e
006a, d87e
006b, 73a3
006c, 7df4
006d, f59a
006e, eaa9
006f, 0c86
0070, 6588
0071, 24e7
0072, 23e0
0073, 5b27
0074, 3f97
0075, 180b
0076, df8b
0077, b0aa
0078, 58a0
0079, 8ba6
007a, a2f4
007b, 910f
007c, 9deb
007d, d55f
007e, 179f
007f, 39ed
0080, f98b
0081, 9d9b
0082, 9c42
0083, bdd1
0084, 5dc2
0085, e8d4
0086, f8dd
0087, 833e
0088, bcd9
0089, b4f8
008a, 523b
008b, 70fe
008c, 78f4
008d, f027
008e, e0a3
008f, 5cb2
0090, 0a16
0091, 5894
0092, 5941
0093, 2da1
0094, 9864
0095, 2864
0096, 9da1
0097, ecf9
0098, 73fa
0099, e4f8
009a, 54a8
009b, d9c3
009c, d894
009d, 9384
009e, 296a
009f, 97e1
00a0, 4cb6
00a1, d274
00a2, d043
00a3, 3dbd
00a4, 9eab
00a5, cb98
00a6, de56
00a7, 7900
00a8, 6e00
00a9, 286d
00aa, a406
00ab, 62af
00ac, 6b82
00ad, e629
00ae, c5ce
00af, 968b
00b0, f3fc
00b1, e188
00b2, ea89
00b3, d748
