0000, eb5e
0001, f886
0002, 8337
0003, d337
0004, 9876
0005, 2ef5
0006, 4e44
0007, 3d3a
0008, 8e27
0009, 8e21
000a, f51d
000b, 2394
000c, f394
000d, 3627
000e, adea
000f, 2e7b
0010, cd83
0011, 3c91
0012, 4b44
0013, d997
0014, cb78
0015, 2a45
0016, 8faa
0017, c614
0018, bffe
0019, fa94
001a, 31a7
001b, 4b95
001c, 89f1
001d, a7fe
001e, a2fa
001f, 0ac5
0020, ed5b
0021, a656
0022, 5a5d
0023, 3a5d
0024, 5636
0025, 3b2d
0026, eb50
0027, 3d36
0028, ebed
0029, 5b20
002a, ad5b
002b, 3ae0
002c, 5ae0
002d, a6eb
002e, ade6
002f, e6eb
0030, d2dc
0031, 9636
0032, 630d
0033, 9a5d
0034, d506
0035, 8cbc
0036, 468f
0037, d8d6
0038, 9672
0039, 6c69
003a, f6cc
003b, b3d0
003c, 4ae0
003d, fd8c
003e, fde6
003f, d70c
0040, d283
0041, f88a
0042, 8288
0043, fc5e
0044, d5e8
0045, 6354
0046, 288e
0047, d788
0048, 41e7
0049, d7c8
004a, f31e
004b, 8ee4
004c, 9577
004d, 9cee
004e, f2ea
004f, d8e3
0050, c28c
0051, a886
0052, a362
0053, c337
0054, cdf6
0055, cc6d
0056, ac77
0057, d8da
0058, cc94
0059, fc92
005a, d48c
005b, f39d
005c, a394
005d, f283
005e, fdea
005f, c4e3
0060, c2d3
0061, 3aa0
0062, f374
0063, d39d
0064, 03c0
0065, 4c25
0066, 8cff
0067, c886
0068, dc92
0069, fc34
006a, 3c7f
006b, 2315
006c, 8340
006d, a28c
006e, adf6
006f, cc05
0070, 5bae
0071, a4da
0072, e283
0073, 3697
0074, 8808
0075, 5fb1
0076, 6304
0077, e2c8
0078, a7c8
0079, ed4a
007a, d8d3
007b, beb5
007c, 396e
007d, a283
007e, adfa
007f, ef6e
0080, ddd3
0081, f6aa
0082, 8bd4
0083, 9697
0084, dd08
0085, bad5
0086, 4daa
